Point ID,arc_length,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
129,0.002580,-0.000005,0.050000,0.002580,0.005000,0.050316,0.003217,0.000057,0.000000,0.003217,1
130,0.002600,-0.000005,0.050000,0.002600,0.005000,0.050317,0.003237,0.000058,0.000000,0.003238,1
131,0.002620,-0.000005,0.050000,0.002620,0.005000,0.050318,0.003257,0.000058,0.000000,0.003258,1
132,0.002640,-0.000005,0.050000,0.002640,0.005000,0.050319,0.003278,0.000059,0.000000,0.003278,1
133,0.002660,-0.000005,0.050000,0.002660,0.005000,0.050320,0.003298,0.000060,0.000000,0.003298,1
134,0.002680,-0.000005,0.050000,0.002680,0.005000,0.050321,0.003318,0.000060,0.000000,0.003319,1
135,0.002700,-0.000005,0.050000,0.002700,0.005000,0.050322,0.003338,0.000061,0.000000,0.003339,1
136,0.002720,-0.000005,0.050000,0.002720,0.005000,0.050323,0.003358,0.000062,0.000000,0.003359,1
137,0.002740,-0.000005,0.050000,0.002740,0.005000,0.050324,0.003376,0.000062,0.000000,0.003377,1
138,0.002760,-0.000005,0.050000,0.002760,0.005000,0.050325,0.003395,0.000063,0.000000,0.003395,1
139,0.002780,-0.000005,0.050000,0.002780,0.005000,0.050326,0.003413,0.000064,0.000000,0.003413,1
140,0.002800,-0.000005,0.050000,0.002800,0.005000,0.050327,0.003431,0.000064,0.000000,0.003432,1
141,0.002820,-0.000005,0.050000,0.002820,0.005000,0.050328,0.003449,0.000065,0.000000,0.003450,1
142,0.002840,-0.000005,0.050000,0.002840,0.005000,0.050330,0.003467,0.000066,0.000000,0.003468,1
143,0.002860,-0.000005,0.050000,0.002860,0.005000,0.050331,0.003486,0.000066,0.000000,0.003486,1
144,0.002880,-0.000005,0.050000,0.002880,0.005000,0.050332,0.003504,0.000067,0.000000,0.003505,1
145,0.002900,-0.000005,0.050000,0.002900,0.005000,0.050333,0.003522,0.000068,0.000000,0.003523,1
146,0.002920,-0.000005,0.050000,0.002920,0.005000,0.050334,0.003540,0.000069,0.000000,0.003541,1
147,0.002940,-0.000005,0.050000,0.002940,0.005000,0.050335,0.003559,0.000069,0.000000,0.003559,1
148,0.002960,-0.000005,0.050000,0.002960,0.005000,0.050336,0.003577,0.000070,0.000000,0.003578,1
149,0.002980,-0.000005,0.050000,0.002980,0.005000,0.050338,0.003595,0.000071,0.000000,0.003596,1
150,0.003000,-0.000005,0.050000,0.003000,0.005000,0.050339,0.003613,0.000071,0.000000,0.003614,1
151,0.003020,-0.000005,0.050000,0.003020,0.005000,0.050340,0.003632,0.000072,0.000000,0.003632,1
152,0.003040,-0.000005,0.050000,0.003040,0.005000,0.050341,0.003650,0.000073,0.000000,0.003651,1
153,0.003060,-0.000005,0.050000,0.003060,0.005000,0.050342,0.003668,0.000073,0.000000,0.003669,1
154,0.003080,-0.000005,0.050000,0.003080,0.005000,0.050344,0.003686,0.000074,0.000000,0.003687,1
155,0.003100,-0.000005,0.050000,0.003100,0.005000,0.050345,0.003705,0.000075,0.000000,0.003705,1
156,0.003120,-0.000005,0.050000,0.003120,0.005000,0.050346,0.003723,0.000075,0.000000,0.003724,1
157,0.003140,-0.000005,0.050000,0.003140,0.005000,0.050347,0.003741,0.000076,0.000000,0.003742,1
158,0.003160,-0.000005,0.050000,0.003160,0.005000,0.050349,0.003759,0.000077,0.000000,0.003760,1
159,0.003180,-0.000005,0.050000,0.003180,0.005000,0.050350,0.003778,0.000077,0.000000,0.003778,1
160,0.003200,-0.000005,0.050000,0.003200,0.005000,0.050351,0.003795,0.000078,0.000000,0.003795,1
161,0.003220,-0.000005,0.050000,0.003220,0.005000,0.050352,0.003811,0.000079,0.000000,0.003811,1
162,0.003240,-0.000005,0.050000,0.003240,0.005000,0.050354,0.003827,0.000079,0.000000,0.003827,1
163,0.003260,-0.000005,0.050000,0.003260,0.005000,0.050355,0.003843,0.000080,0.000000,0.003843,1
164,0.003280,-0.000005,0.050000,0.003280,0.005000,0.050356,0.003859,0.000080,0.000000,0.003859,1
165,0.003300,-0.000005,0.050000,0.003300,0.005000,0.050358,0.003875,0.000081,0.000000,0.003875,1
166,0.003320,-0.000005,0.050000,0.003320,0.005000,0.050359,0.003891,0.000082,0.000000,0.003891,1
167,0.003340,-0.000005,0.050000,0.003340,0.005000,0.050360,0.003907,0.000082,0.000000,0.003907,1
168,0.003360,-0.000005,0.050000,0.003360,0.005000,0.050362,0.003922,0.000083,0.000000,0.003923,1
169,0.003380,-0.000005,0.050000,0.003380,0.005000,0.050363,0.003938,0.000083,0.000000,0.003939,1
170,0.003400,-0.000005,0.050000,0.003400,0.005000,0.050364,0.003954,0.000084,0.000000,0.003955,1
171,0.003420,-0.000005,0.050000,0.003420,0.005000,0.050366,0.003970,0.000084,0.000000,0.003971,1
172,0.003440,-0.000005,0.050000,0.003440,0.005000,0.050367,0.003986,0.000085,0.000000,0.003987,1
173,0.003460,-0.000005,0.050000,0.003460,0.005000,0.050368,0.004002,0.000086,0.000000,0.004003,1
174,0.003480,-0.000005,0.050000,0.003480,0.005000,0.050370,0.004018,0.000086,0.000000,0.004019,1
175,0.003500,-0.000005,0.050000,0.003500,0.005000,0.050371,0.004034,0.000087,0.000000,0.004035,1
176,0.003520,-0.000005,0.050000,0.003520,0.005000,0.050373,0.004050,0.000087,0.000000,0.004051,1
177,0.003540,-0.000005,0.050000,0.003540,0.005000,0.050374,0.004066,0.000088,0.000000,0.004067,1
178,0.003560,-0.000005,0.050000,0.003560,0.005000,0.050375,0.004082,0.000089,0.000000,0.004083,1
179,0.003580,-0.000005,0.050000,0.003580,0.005000,0.050377,0.004098,0.000089,0.000000,0.004099,1
180,0.003600,-0.000005,0.050000,0.003600,0.005000,0.050378,0.004114,0.000090,0.000000,0.004115,1
181,0.003620,-0.000005,0.050000,0.003620,0.005000,0.050380,0.004130,0.000090,0.000000,0.004131,1
182,0.003640,-0.000005,0.050000,0.003640,0.005000,0.050381,0.004146,0.000091,0.000000,0.004147,1
183,0.003660,-0.000005,0.050000,0.003660,0.005000,0.050382,0.004162,0.000092,0.000000,0.004163,1
184,0.003680,-0.000005,0.050000,0.003680,0.005000,0.050384,0.004178,0.000092,0.000000,0.004179,1
185,0.003700,-0.000005,0.050000,0.003700,0.005000,0.050385,0.004194,0.000093,0.000000,0.004195,1
186,0.003720,-0.000005,0.050000,0.003720,0.005000,0.050387,0.004210,0.000093,0.000000,0.004211,1
